Question,Option A,Option B,Option C,Option D,Correct Answer
Инженерүүдийн үндсэн зорилго юу вэ?,Ашиг олох,Бүтээгдэхүүн сайжруулах,Хүмүүсийн амьдралыг сайжруулах,Судалгаа хийх,C
Технологи ямар шинжтэй вэ?,Зөвхөн сайн,Зөвхөн муу,Давхар нөлөөтэй,Хамааралгүй,C
Engineering as social experiment гэдэг нь юу вэ?,Лабораторийн туршилт,Нийгэмд туршигдах процесс,Хувийн туршилт,Судалгаа,B
Инженерүүд ямар үүрэгтэй вэ?,Ашиг олох,Аюулгүй байдлыг хангах,Борлуулалт хийх,Маркетинг хийх,B
Ёс зүй яагаад хэрэгтэй вэ?,Хууль дагах,Хариуцлага нэмэгдүүлэх,Мөнгө олох,Шалгалт өгөх,B
Технологи яагаад аюултай байж болох вэ?,Үнэтэй,Шинэ,Эрсдэл үүсгэдэг,Хүнд,C
Ёс зүйн асуудал хэзээ үүсдэг вэ?,Ажилгүй үед,Ашиг их үед,Үнэт зүйлс зөрчилдөх үед,Хялбар үед,C
Инженерүүд хэзээ мэдээлэх ёстой вэ?,Ашигтай үед,Аюул илэрвэл,Дарга хэлэхэд,Хожим,B
Урьдчилан сэргийлэх ёс зүй юу вэ?,Шийтгэх,Урьдчилан бодох,Хүлээх,Үл тоох,B
AI хөгжлийг хэрхэн харах вэ?,Айх,Бүрэн итгэх,Болгоомжтой өөдрөг,Үл тоох,C
Ёс зүйн дилемма гэж юу вэ?,Асуудалгүй байдал,Зөрчилтэй нөхцөл,Ашигтай нөхцөл,Энгийн шийдвэр,B
Moral clarity гэж юу вэ?,Мэдэхгүй байх,Тодорхой ойлгох,Таах,Түргэн шийдэх,B
Кодексийн үүрэг юу вэ?,Сануулах,Удирдах,Шийтгэх,Бичиг,B
Инженерийн гол үүрэг юу вэ?,Ашиг,Олон нийтийн аюулгүй байдал,Хурд,Маркетинг,B
Informed decision гэж юу вэ?,Түргэн,Мэдээлэлтэй,Санамсаргүй,Хялбар,B
Ёс зүйн шийдвэрт юу чухал вэ?,Мөнгө,Баримт,Хурд,Дарга,B
Аль нь илүү чухал вэ?,Ашиг,Олон нийт,Хувь хүн,Компани,B
Баримт яагаад чухал вэ?,Шалгалт,Зөв шийдвэр гаргах,Тайлан,Маркетинг,B
Хамтран ярилцахын ач холбогдол?,Цаг үрэх,Илүү ойлголт авах,Маргаан,Хурд,B
Ёс зүйн асуудалд юу хэрэгтэй вэ?,Түргэн,Мэдлэг,Аз,Туршлагагүй,B
Utilitarianism гэж юу вэ?,Хувийн ашиг,Олонхийн ашиг,Хууль,Шашин,B
Rights ethics юу вэ?,Ашиг,Эрх хамгаалах,Мөнгө,Дүрэм,B
Duty ethics юу вэ?,Ашиг,Үүрэг,Аз,Сонголт,B
Virtue ethics юу вэ?,Ашиг,Зан чанар,Хууль,Дүрэм,B
Cost-benefit analysis юу вэ?,Ашиг зардал тооцох,Хууль,Ёс зүй,Шийтгэл,A
Utilitarianism юуг хардаг вэ?,Ашиг,Нийт сайн,Хууль,Хувь хүн,B
Public welfare гэж юу вэ?,Компани,Олон нийт,Дарга,Хувь хүн,B
Ёс зүйн онолууд яагаад олон вэ?,Хэцүү,Янз бүрийн үзэл,Хууль,Туршлага,B
Аль нь зөв вэ?,Ашиг,Эрх,Бүгд хамаарна,Аль нь ч биш,C
Инженерчлэлд юу чухал вэ?,Ашиг,Ёс зүй,Хурд,Зар сурталчилгаа,B
Инженерчлэл яагаад туршилт вэ?,Лаборатори,Нийгэмд туршигддаг,Хялбар,Санамсаргүй,B
Titanic ослын гол шалтгаан?,Машин эвдрэл,Буруу шийдвэр,Цаг агаар,Азгүй,B
Partial ignorance гэж юу вэ?,Бүрэн мэдлэг,Дутуу мэдлэг,Илүүдэл мэдээлэл,Туршлага,B
Үр дүн яагаад тодорхойгүй вэ?,Хялбар,Олон хүчин зүйлтэй,Тодорхой,Шууд,B
Monitoring гэж юу вэ?,Хянах,Засах,Бичих,Тооцоолох,A
Safe exit гэж юу вэ?,Орох,Гарах боломж,Зогсох,Хүлээх,B
Суралцах яагаад чухал вэ?,Цаг үрэх,Алдаа давтахгүй,Хурд,Мөнгө,B
Алдаа яагаад давтагддаг вэ?,Мэдэхгүй,Харилцаа муу,Азгүй,Хурд,B
Эрсдэл бууруулах арга?,Үл тоох,Төлөвлөх,Хүлээх,Аз,B
Анхааруулах хэзээ вэ?,Хожим,Аюул илэрвэл,Дараа,Хүлээх,B
Safety гэж юу вэ?,Аюул,Эрсдэлгүй байдал,Хурд,Зардал,B
Absolute safety боломжтой юу?,Тийм,Үгүй,Заримдаа,Магадгүй,B
Risk гэж юу вэ?,Ашиг,Эрсдэл,Мөнгө,Хурд,B
Safety субъектив үү?,Тийм,Үгүй,Хамаарна,Мэдэхгүй,C
Acceptable risk гэж юу вэ?,Аюул,Зөвшөөрөх эрсдэл,Хурд,Зардал,B
Lowrance сул тал?,Зөв,Субъектив,Хурдан,Тодорхой,B
Хүмүүсийн ойлголт яагаад өөр вэ?,Мэдлэг,Үнэ цэнэ,Хурд,Аз,B
Safety үнэлэхэд юу чухал вэ?,Мөнгө,Эрсдэл,Хурд,Зардал,B
Risk assessment гэж юу вэ?,Тооцоолох,Үнэлэх,Бичих,Хүлээх,B
Human-machine interaction?,Чухал,Чухал биш,Хамааралгүй,Тодорхойгүй,A
