Question,Option A,Option B,Option C,Option D,Correct Answer,Chapter
Customers experience offerings through which layers?,Only product,Systems only,Multiple layers including behavior and processes,Only staff behavior,C,1
What matters most to customers according to study?,Medical outcome,Price,Interactions with staff,Technology,C,1
Core offering is always most important.,True,False,Depends,None,B,1
Empowered customers have more what?,Less choice,More information,Less influence,None,B,1
Social media affects businesses by?,Reducing trust,Increasing advertising cost,Amplifying customer voice,Ignoring customers,C,1
What causes loss of business?,Good service,Poor experience,Low price,Fast delivery,B,1
Silos refer to?,Team collaboration,Separated departments,Customer journey,Tools,B,1
Organizations optimize mostly?,Customer needs,Internal efficiency,Experience,Systems,B,1
Customer journey includes?,Only purchase,Only usage,Entire experience,Only service,C,1
Customers value?,Only product,Experience layers,Only price,Only brand,B,1
What is WOM?,Internal communication,Word of mouth,Workflow model,Work order,B,1
Why do companies fail customers?,Lack of money,Wrong structure,Too many customers,Too much data,B,1
Service design primarily focuses on?,Products only,Customer experience,Marketing only,Sales only,B,2
Service design is?,Single tool,Holistic approach,Only process,Only mindset,B,2
Which is NOT service design?,Customer service,Aesthetic design,Service recovery,All of above,D,2
Service design balances?,Cost and profit,Customer and business needs,Tech and HR,None,B,2
Service design mindset includes?,Ignoring users,Testing ideas,No iteration,No research,B,2
Iteration means?,One-time process,Repeating cycles,Final solution,Static design,B,2
Service design tools are?,End goal,Means to communicate,Only visuals,Not useful,B,2
Boundary objects help?,Confuse teams,Align teams,Separate teams,Ignore teams,B,2
Service design is cross-disciplinary?,Yes,No,Only design team,Only managers,A,2
Service design improves?,Only aesthetics,Only profit,Services holistically,Only UX,C,2
Service design originated from?,Engineering only,Design field,Finance,None,B,2
Service design includes?,Only frontend,Entire system,Only backend,Only UI,B,2
Tools are?,How to work,What we use,Why we work,Who works,B,3
Methods describe?,Tools,Processes,Data,Outputs,B,3
Research data includes?,Only numbers,Raw and interpreted data,Only opinions,None,B,3
Raw data is?,Interpreted,Unfiltered,Biased,Analyzed,B,3
Personas represent?,Real person only,Group archetype,Random users,None,B,3
Personas should be based on?,Assumptions,Research,Guessing,None,B,3
Journey map shows?,Product only,Experience over time,Only steps,None,B,3
Journey maps help?,Hide problems,Reveal pain points,Ignore users,None,B,3
Boundary objects?,Separate teams,Help collaboration,Ignore teams,None,B,3
Channels in journey map mean?,People,Systems,Communication methods,Costs,C,3
Emotional journey shows?,Price,Satisfaction levels,Profit,None,B,3
Stakeholders are?,Customers only,All involved actors,Managers only,None,B,3
Design process is?,Fixed,Flexible,Random,None,B,4
VUCA means?,Stable world,Complex world,Simple world,None,B,4
Divergent thinking means?,Reduce ideas,Generate ideas,Ignore ideas,None,B,4
Convergent thinking means?,Expand ideas,Select ideas,Ignore ideas,None,B,4
Design process includes?,Only ideation,Research and solution,Only testing,None,B,4
Why define problem first?,Save time,Avoid wrong solutions,Reduce cost,All,B,4
Iteration in design means?,Stop early,Repeat cycles,Finish once,None,B,4
Design process depends on?,Only tools,Context and project,Only budget,None,B,4
Yes and means?,Reject ideas,Build ideas,Ignore ideas,None,B,4
Yes but means?,Accept all,Critique ideas,Ignore,None,B,4
Service design process is?,Linear,Circular,Iterative,None,C,4
Best process is?,Copied,Customized,Random,None,B,4
